340773;Josh Bard;0,9916;1,0
340778;Josh Barfield;0,9822;1,0
340781;Addison Barger;0,9612;0,9286
340804;Clint Barmes;0,974;0,96
340807;Austin Barnes;0,9919;0,9968
340814;Darwin Barney;0,9862;1,0
340824;Jesse Barnes;0,9758;1,0
340826;John Barnes;0,9788;1,0
340830;Matt Barnes;0,9815;1,0
340833;Rex Barney;0,914;0,75
340841;Virgil Barnes;0,9624;1,0
340844;Dave Barnhill;0,9684;1,0
340849;Tucker Barnhart;0,9965;1,0
340856;Salome Barojas;0,981;1,0
340866;Aaron Barrett;0,7857;1,0
340878;Marty Barrett;0,9861;1,0
340903;Jack Barry;0,9437;0,9469
340909;Dick Bartell;0,9546;0,9315
340921;Jason Bartlett;0,968;0,9604
340927;Daric Barton;0,9922;1,0
340951;Pepper Bassett;0,9756;1,0
340953;Chris Bassitt;0,9577;1,0
340974;Jason Bates;0,9779;1,0
340980;Kim Batiste;0,9285;0,6
340981;Miguel Batista;0,9537;0,8334
340987;Earl Battey;0,9898;1,0
340995;Ray Battle;0,9195;1,0
341003;Jake Bauers;0,9915;1,0
341007;Trevor Bauer;0,9676;0,6
341044;Eduard Bazardo;1,0;1,0
341066;Dave Beard;0,9318;1,0
341067;Gene Bearden;0,9385;1,0
341084;Jim Beattie;0,9685;1,0
341085;Matt Beaty;0,9874;0,96
341091;Johnny Beazley;0,9794;0,75
341106;Josh Beckett;0,9489;0,9286
341121;Rod Beck;0,9712;1,0
341131;Hugh Bedient;0,9409;1,0
341135;Steve Bedrosian;0,949;1,0
341158;Hank Behrman;0,9405;1,0
341163;Mark Belanger;0,9768;0,9687
341166;Tim Belcher;0,9604;1,0
341171;Stan Belinda;0,9643;1,0
341172;Matt Belisle;0,9577;1,0
341173;Ronald Belisario;0,9487;1,0
341177;Andrew Bellatti;0,7;1,0
341186;Cliff Bell;0,943;1,0
341188;David Bell;0,9652;0,9546
341196;Gary Bell;0,9632;1,0
341201;Herman Bell;0,9783;1,0
341202;Herman Bell;0,9012;1,0
341203;Mark Bellhorn;0,9728;0,9815
341204;Clay Bellinger;0,9768;1,0
341205;Cody Bellinger;0,9926;0,9941
341206;Rafael Belliard;0,9771;0,9623
341207;Ronnie Belliard;0,9794;0,9818
341208;Jay Bell;0,9756;0,964
341212;Josh Bell;0,9909;1,0
341217;Les Bell;0,9364;0,9231
341232;William Bell;0,9745;0,9678
341236;Brandon Belt;0,9933;1,0
341237;Adrian Beltre;0,9596;0,9863
