Jugador_Base;Ranking;Jugador_Comparable;Correlacion_Pearson
Andy Ashby;3;Kevin Millwood;0,9957
Andy Ashby;4;Mark Buehrle;0,9921
Andy Ashby;5;Tom Glavine;0,991
Andy Benes;1;Nick Blackburn;0,9981
Andy Benes;2;John Franco;0,9856
Andy Benes;3;Cliff Lee;0,9847
Andy Benes;4;Xavier Hernandez;0,9742
Andy Benes;5;Joe Blanton;0,9615
Andy Fox;1;Chris Widger;0,9802
Andy Fox;2;Jarrod Dyson;0,9754
Andy Fox;3;Tony Tarasco;0,9694
Andy Fox;4;Scott Cooper;0,9642
Andy Fox;5;Matt LeCroy;0,9639
Andy McGaffigan;1;Steve Kline;0,9924
Andy McGaffigan;2;Wade Miller;0,9915
Andy McGaffigan;3;Josh Beckett;0,9906
Andy McGaffigan;4;Rich Rodriguez;0,9828
Andy McGaffigan;5;Cal Eldred;0,9771
Andy Pettitte;1;Sean Bergman;0,9074
Andy Pettitte;2;Jason Isringhausen;0,8565
Andy Pettitte;3;Rick Ankiel;0,853
Andy Pettitte;4;Jose Bautista;0,8522
Andy Pettitte;5;Norm Charlton;0,8516
Andy Stankiewicz;1;Tim Bogar;0,9532
Andy Stankiewicz;2;Dennis Cook;0,9407
Andy Stankiewicz;3;Matt Walbeck;0,9289
Andy Stankiewicz;4;Mark Portugal;0,9287
Andy Stankiewicz;5;Joel Skinner;0,9275
Andy Van Slyke;1;Adam Melhuse;0,9948
Andy Van Slyke;2;Mickey Morandini;0,9928
Andy Van Slyke;3;John Mayberry;0,988
Andy Van Slyke;4;Magglio Ordonez;0,9863
Andy Van Slyke;5;Eric Bruntlett;0,9855
Angel Pagan;1;Michael Young;0,9938
Angel Pagan;2;Freddie Freeman;0,9915
Angel Pagan;3;Willy Taveras;0,9914
Angel Pagan;4;J. J. Hardy;0,9901
Angel Pagan;5;Dexter Fowler;0,9881
Anibal Sanchez;1;Charlie Morton;0,9721
Anibal Sanchez;2;Pat Rapp;0,9709
Anibal Sanchez;3;Jake Arrieta;0,9687
Anibal Sanchez;4;Kevin Jarvis;0,9576
Anibal Sanchez;5;Bud Norris;0,9509
Anthony Young;1;Doug Mirabelli;0,9863
Anthony Young;2;Henry Rodriguez;0,9529
Anthony Young;3;Craig Shipley;0,9379
Anthony Young;4;Rick Cerone;0,9364
Anthony Young;5;Chris Woodward;0,9339
Antonio Alfonseca;1;Dan Miceli;0,9912
Antonio Alfonseca;2;Bill Landrum;0,9703
Antonio Alfonseca;3;T. J. Mathews;0,9663
Antonio Alfonseca;4;Jeremy Hernandez;0,958
Antonio Alfonseca;5;Jair Jurrjens;0,9559
Antonio Osuna;1;Luis Quinones;0,9935
Antonio Osuna;2;Brandon Inge;0,9897
Antonio Osuna;3;Dave Hansen;0,9848
Antonio Osuna;4;Scott Hemond;0,9847
Antonio Osuna;5;Stan Belinda;0,979
Aramis Ramirez;1;Robert Andino;0,9885
Aramis Ramirez;2;Wiki Gonzalez;0,9879
Aramis Ramirez;3;Ian Desmond;0,9863
Aramis Ramirez;4;Torii Hunter;0,9817
Aramis Ramirez;5;Shane Mack;0,9721
Archi Cianfrocco;1;Matt Stairs;0,9647
Archi Cianfrocco;2;Derrek Lee;0,9393
Archi Cianfrocco;3;Bill Pecota;0,9371
Archi Cianfrocco;4;Tom Lawless;0,9202
Archi Cianfrocco;5;Dontrelle Willis;0,9105
Armando Reynoso;1;Johnny Cueto;0,988
Armando Reynoso;2;Wandy Rodriguez;0,9874
Armando Reynoso;3;Chuck Finley;0,983
Armando Reynoso;4;Jimmy Haynes;0,9828
Armando Reynoso;5;Kent Mercker;0,9816
Armando Rios;1;Mackey Sasser;0,9991
Armando Rios;2;Tony Fernandez;0,9973
Armando Rios;3;Mike Devereaux;0,9972
Armando Rios;4;Doug Glanville;0,9967
Armando Rios;5;Khalil Greene;0,9956
Arthur Rhodes;1;Eddie Williams;0,9934
Arthur Rhodes;2;Harry Spilman;0,9851
Arthur Rhodes;3;Matt Williams;0,9738
Arthur Rhodes;4;Phil Nevin;0,9729
Arthur Rhodes;5;Craig Grebeck;0,9664
Asdrubal Cabrera;1;Ryan Hanigan;0,9943
Asdrubal Cabrera;2;Colby Rasmus;0,9931
Asdrubal Cabrera;3;Pat Burrell;0,993
Asdrubal Cabrera;4;Milt Thompson;0,9929
Asdrubal Cabrera;5;Lyle Overbay;0,9912
Atlee Hammaker;1;Scott Erickson;0,9694
Atlee Hammaker;2;Kevin Foster;0,966
Atlee Hammaker;3;Greg Swindell;0,962
Atlee Hammaker;4;Darren Holmes;0,9596
Atlee Hammaker;5;Robin Yount;0,9489
Aubrey Huff;1;Jesse Levis;0,9955
Aubrey Huff;2;Adam Wainwright;0,995
Aubrey Huff;3;Mike Bordick;0,9943
Aubrey Huff;4;Woody Williams;0,9938
Aubrey Huff;5;Chipper Jones;0,9933
Augie Ojeda;1;Brian Anderson;0,9842
Augie Ojeda;2;Ramon Castro;0,9796
Augie Ojeda;3;Marc Newfield;0,9656
Augie Ojeda;4;Dillon Gee;0,9648
Augie Ojeda;5;Luis Salazar;0,9557
Austin Jackson;1;Ian Desmond;0,9909
Austin Jackson;2;Fernando Tatis;0,9884
Austin Jackson;3;Torii Hunter;0,9878
Austin Jackson;4;Aaron Rowand;0,9867
Austin Jackson;5;Jay Payton;0,9847
Austin Kearns;1;Josh Reddick;0,9918
Austin Kearns;2;Trevor Plouffe;0,9906
Austin Kearns;3;Brandon Moss;0,9865
Austin Kearns;4;Kendrys Morales;0,9862
Austin Kearns;5;Grady Sizemore;0,9847
B. J. Surhoff;1;Phil Bradley;0,9985
B. J. Surhoff;2;Brent Gates;0,9968
B. J. Surhoff;3;Carlos Gonzalez;0,9959
B. J. Surhoff;4;Dave Silvestri;0,9956
B. J. Surhoff;5;Damian Jackson;0,9954
B. J. Upton;1;Jose Altuve;0,9985
B. J. Upton;2;Derek Bell;0,9957
B. J. Upton;3;Greg Walker;0,9953
B. J. Upton;4;Greg Vaughn;0,9941
B. J. Upton;5;Mike Moustakas;0,9916
Barry Bonds;1;Jose Altuve;0,9927
Barry Bonds;2;Derek Bell;0,9925
Barry Bonds;3;B. J. Upton;0,9887
Barry Bonds;4;Josh Hamilton;0,9886
Barry Bonds;5;F. P. Santangelo;0,9883
Barry Jones;1;Kevin Jarvis;0,9962
Barry Jones;2;Bud Norris;0,9617
Barry Jones;3;Chad Kreuter;0,9462
Barry Jones;4;Jerome Williams;0,9385
Barry Jones;5;Jeff Juden;0,938
Barry Larkin;1;Lucas Duda;0,9946
Barry Larkin;2;Randy Winn;0,9931
Barry Larkin;3;Mo Vaughn;0,9928
Barry Larkin;4;Ramon Hernandez;0,9904
Barry Larkin;5;Chris Johnson;0,9872
Barry Lyons;1;Wade Boggs;0,9903
Barry Lyons;2;Miguel Cabrera;0,9803
Barry Lyons;3;Craig Reynolds;0,9803
Barry Lyons;4;Aaron Boone;0,9752
Barry Lyons;5;Rance Mulliniks;0,9686
Barry Zito;1;John Grabow;0,9982
Barry Zito;2;Tim Burke;0,9973
Barry Zito;3;Bronson Arroyo;0,997
Barry Zito;4;Mel Rojas;0,9961
Barry Zito;5;Daniel Cabrera;0,9958
Bartolo Colon;1;C. J. Wilson;0,985
Bartolo Colon;2;Jeff Shaw;0,9814
Bartolo Colon;3;Jay Powell;0,981
Bartolo Colon;4;Ricky Bottalico;0,9797
Bartolo Colon;5;Jaret Wright;0,9782
Ben Broussard;1;Orlando Hudson;0,9995
Ben Broussard;2;Shea Hillenbrand;0,9992
Ben Broussard;3;Lyle Overbay;0,999
Ben Broussard;4;Garrett Atkins;0,9954
Ben Broussard;5;Jeff King;0,9947
Ben Davis;1;Rondell White;0,9999
Ben Davis;2;Placido Polanco;0,9968
Ben Davis;3;Sean Burroughs;0,9944
Ben Davis;4;Joey Votto;0,9941
Ben Davis;5;Adam Jones;0,9935
Ben Grieve;1;Jason Michaels;0,9986
Ben Grieve;2;Tracy Jones;0,9961
Ben Grieve;3;Oddibe McDowell;0,995
Ben Grieve;4;Salvador Perez;0,9942
Ben Grieve;5;R. J. Reynolds;0,9939
Ben Revere;1;Todd Helton;0,9975
Ben Revere;2;Matt Carpenter;0,9975
Ben Revere;3;Brian Giles;0,9971
Ben Revere;4;Dustin Pedroia;0,9963
Ben Revere;5;Gregor Blanco;0,9962
Ben Sheets;1;Brandon McCarthy;0,9933
Ben Sheets;2;Aaron Cook;0,9929
Ben Sheets;3;Wandy Rodriguez;0,9929
Ben Sheets;4;LaTroy Hawkins;0,9925
Ben Sheets;5;Andy Ashby;0,987
Ben Zobrist;1;Brady Clark;0,9876
Ben Zobrist;2;Phil Plantier;0,9839
Ben Zobrist;3;Chris Peters;0,9818
Ben Zobrist;4;Elliot Johnson;0,9802
Ben Zobrist;5;Alberto Callaspo;0,9743
Bengie Molina;1;Mark Teahen;0,9942
Bengie Molina;2;Mike Morse;0,9918
Bengie Molina;3;Jonathan Lucroy;0,9908
Bengie Molina;4;Asdrubal Cabrera;0,9887
Bengie Molina;5;Colby Rasmus;0,988
Benito Santiago;1;Phil Bradley;0,9986
Benito Santiago;2;Brent Gates;0,9976
Benito Santiago;3;Carlos Gonzalez;0,9973
Benito Santiago;4;Jesse Levis;0,9949
Benito Santiago;5;Dwight Smith;0,9948
Benji Gil;1;Scott Hemond;0,9925
Benji Gil;2;Scott Sanderson;0,9854
Benji Gil;3;Robert Perez;0,9787
Benji Gil;4;Donne Wall;0,9773
Benji Gil;5;Luis Quinones;0,9741
Bernard Gilkey;1;Luis Aguayo;0,9867
Bernard Gilkey;2;Johnny Damon;0,9835
Bernard Gilkey;3;Rusty Greer;0,9808
Bernard Gilkey;4;Matt Lawton;0,9793
Bernard Gilkey;5;Mike Krukow;0,9792
Bernie Williams;1;Mike Sharperson;0,9893
Bernie Williams;2;Ernie Whitt;0,9874
Bernie Williams;3;Marty Barrett;0,9845
Bernie Williams;4;Curt Ford;0,9841
