Jugador_Base;Ranking;Jugador_Comparable;Correlacion_Pearson
Abner Dalrymple;3;Charlie Williams;0,9264
Abner Dalrymple;4;Ducky Holmes;0,9219
Abner Dalrymple;5;Donnie Sadler;0,9142
Abraham Almonte;1;Denny Lemaster;0,9437
Abraham Almonte;2;Willie Stargell;0,9198
Abraham Almonte;3;Ron Washington;0,9195
Abraham Almonte;4;Ted Alexander;0,9168
Abraham Almonte;5;Frank Owen;0,9151
Abraham Nunez;1;Earl Williams;0,9698
Abraham Nunez;2;Jesse Barber;0,902
Abraham Nunez;3;Vic Harris;0,8905
Abraham Nunez;4;George Grantham;0,8844
Abraham Nunez;5;Miguel Montero;0,8705
Ad Gumbert;1;Jeff Newman;0,9498
Ad Gumbert;2;Dominic Smith;0,9314
Ad Gumbert;3;Bert Adams;0,9225
Ad Gumbert;4;Cub Stricker;0,9219
Ad Gumbert;5;Lyn Lary;0,9063
Adam Comorosky;1;Johnny Murphy;0,9326
Adam Comorosky;2;Bob Moose;0,9112
Adam Comorosky;3;Max Carey;0,8783
Adam Comorosky;4;Ned Cuthbert;0,8737
Adam Comorosky;5;Gary Peters;0,8594
Adam Dunn;1;Dan Ford;0,8825
Adam Dunn;2;Flint Rhem;0,8561
Adam Dunn;3;J. R. Murphy;0,8455
Adam Dunn;4;Mark Thurmond;0,8452
Adam Dunn;5;Ryan Thompson;0,8442
Adam Duvall;1;Moe Drabowsky;0,911
Adam Duvall;2;Antonio Bastardo;0,8697
Adam Duvall;3;Miguel Cairo;0,8599
Adam Duvall;4;Juan Agosto;0,8528
Adam Duvall;5;Don Demeter;0,8525
Adam Eaton;1;Bert Campaneris;0,9276
Adam Eaton;2;George Stone;0,9015
Adam Eaton;3;Fritz Ostermueller;0,8662
Adam Eaton;4;Will Owens;0,8638
Adam Eaton;5;Urban Shocker;0,8602
Adam Everett;1;Will Cunnane;0,9971
Adam Everett;2;Ryan Weber;0,9971
Adam Everett;3;Jeremy Accardo;0,9971
Adam Everett;4;Pat Clements;0,9971
Adam Everett;5;Blake Parker;0,997
Adam Frazier;1;Pete O'Brien;0,9801
Adam Frazier;2;Stuffy McInnis;0,976
Adam Frazier;3;Brad Fullmer;0,9752
Adam Frazier;4;Pie Traynor;0,9732
Adam Frazier;5;Gerald Williams;0,9644
Adam Jones;1;Shoeless Joe Jackson;0,9656
Adam Jones;2;Johnny Rawlings;0,9513
Adam Jones;3;Billy Cox;0,948
Adam Jones;4;Rob Brantly;0,9446
Adam Jones;5;Doc Bushong;0,9431
Adam Kennedy;1;Jason Thompson;0,9554
Adam Kennedy;2;Jorge Velandia;0,9482
Adam Kennedy;3;Harlond Clift;0,9375
Adam Kennedy;4;Rhys Hoskins;0,9347
Adam Kennedy;5;Brock Holt;0,9067
Adam LaRoche;1;Allen Watson;0,9075
Adam LaRoche;2;Hollis Thurston;0,9013
Adam LaRoche;3;Earl Sheely;0,8913
Adam LaRoche;4;Felipe Sierra;0,8692
Adam LaRoche;5;Tanner Roark;0,8611
Adam Lind;1;Pat Patterson;0,9112
Adam Lind;2;Chubby Dean;0,9061
Adam Lind;3;Tom Lawless;0,8964
Adam Lind;4;Kyle Higashioka;0,8916
Adam Lind;5;Raul Chavez;0,8739
Adam Melhuse;1;Tommy Milone;0,9902
Adam Melhuse;2;Al McBean;0,9806
Adam Melhuse;3;Ralph Terry;0,9656
Adam Melhuse;4;Lenny Randle;0,9579
Adam Melhuse;5;Leon Durham;0,9575
Adam Moore;1;Blaine Boyer;0,9569
Adam Moore;2;Arthur Rhodes;0,9527
Adam Moore;3;Glendon Rusch;0,9325
Adam Moore;4;Mark Redman;0,9224
Adam Moore;5;Mike Hegan;0,9095
Adam Ottavino;1;Don Lee;0,9592
Adam Ottavino;2;Joe Moeller;0,9476
Adam Ottavino;3;Craig Gentry;0,9283
Adam Ottavino;4;Ben Grieve;0,9127
Adam Ottavino;5;Erick Fedde;0,9099
Adam Rosales;1;Fred Scherman;0,961
Adam Rosales;2;Ed Young;0,8665
Adam Rosales;3;Robert Stephenson;0,8562
Adam Rosales;4;Jolbert Cabrera;0,8302
Adam Rosales;5;Jim Colborn;0,8264
Adam Wainwright;1;Taylor Teagarden;0,9685
Adam Wainwright;2;Brad Fullmer;0,9681
Adam Wainwright;3;John Wyatt;0,9549
Adam Wainwright;4;Danys Baez;0,95
Adam Wainwright;5;John Irwin;0,9475
Addie Joss;1;Art Shamsky;0,9417
Addie Joss;2;Jose Canseco;0,9315
Addie Joss;3;Bob Shawkey;0,9088
Addie Joss;4;Taylor Ward;0,9022
Addie Joss;5;Johnny Rawlings;0,9012
Adeiny Hechavarria;1;Omar Narvaez;0,9754
