Jugador_Base;Ranking;Jugador_Comparable;Correlacion_Pearson
Al Oliver;5;John Milligan;0,774
Al Simmons;1;Curt Welch;0,875
Al Simmons;2;Newt Allen;0,8398
Al Simmons;3;Tommy McCarthy;0,8333
Al Simmons;4;Brian Roberts;0,8286
Al Simmons;5;Glenn Beckert;0,8244
Al Smith;1;Gene Clines;0,8121
Al Smith;2;Tommy Helms;0,7959
Al Smith;3;Darryl Hamilton;0,7941
Al Smith;4;Bernie Friberg;0,7923
Al Smith;5;Ryan Klesko;0,7897
Al Zarilla;1;Craig Reynolds;0,9038
Al Zarilla;2;Ed Williamson;0,8913
Al Zarilla;3;Skeeter Newsome;0,8892
Al Zarilla;4;Hal Chase;0,8755
Al Zarilla;5;George Burns;0,8736
Alan Ashby;1;Bill Buckner;0,8456
Alan Ashby;2;Max Muncy;0,8039
Alan Ashby;3;Walter Holke;0,8018
Alan Ashby;4;Omar Vizquel;0,7839
Alan Ashby;5;Mike Matheny;0,7813
Alan Trammell;1;Buck Martinez;0,8595
Alan Trammell;2;Sibby Sisti;0,8258
Alan Trammell;3;Wes Parker;0,7895
Alan Trammell;4;Jim Spencer;0,7765
Alan Trammell;5;Ralph Young;0,7697
Albert Belle;1;Mark Lemke;0,9188
Albert Belle;2;Carson Bigbee;0,8902
Albert Belle;3;Chuck Knoblauch;0,8647
Albert Belle;4;Jim Northrup;0,8532
Albert Belle;5;Larry Doyle;0,8531
Albert Pujols;1;Mike Piazza;0,9089
Albert Pujols;2;Herman Long;0,8886
Albert Pujols;3;Bob Skinner;0,885
Albert Pujols;4;Matt Holliday;0,841
Albert Pujols;5;Jurickson Profar;0,8184
Alcides Escobar;1;Harry Hooper;0,8926
Alcides Escobar;2;John Bateman;0,8898
Alcides Escobar;3;James McCann;0,8569
Alcides Escobar;4;Johnny Bench;0,8546
Alcides Escobar;5;Carlos Correa;0,8485
Alex Bregman;1;Freddie Patek;0,8843
Alex Bregman;2;Bake McBride;0,8828
Alex Bregman;3;Gene Alley;0,8775
