Id_Equipo;Nombre_Equipo;Anio;Salario_Promedio_Equipo;Porcentaje_Victorias;Salario_Relativo;Porcentaje_Victorias_Predicho;Error_Prediccion
49468;Detroit Tigers;1987;527081,78;0,6049;0,8461538461538461;0,8287157197921904;-0,2238157197921904
49469;Houston Astros;1987;450298,96;0,4691;0,5384615384615384;0,5210234120998827;-0,05192341209988266
49470;Kansas City Royals;1987;438076,15;0,5123;0,4230769230769231;0,4056387967152673;0,10666120328473266
49471;Los Angeles Dodgers;1987;488407,25;0,4506;0,7307692307692307;0,713331104407575;-0,26273110440757497
49472;Minnesota Twins;1987;710833,33;0,5247;1,0;0,9825618736383442;-0,4578618736383442
49473;Milwaukee Brewers;1987;260472,29;0,5617;0,11538461538461539;0,09794648902295962;0,4637535109770404
49474;Montreal Expos;1987;289252,17;0,5617;0,15384615384615385;0,1364080274844981;0,4252919725155019
49475;New York Yankees;1987;488563,26;0,5494;0,7692307692307693;0,7517926428691135;-0,20239264286911351
49476;New York Mets;1987;553868,56;0,5679;0,9230769230769231;0,9056387967152674;-0,3377387967152674
49477;Oakland Athletics;1987;449263,04;0,5;0,5;0,48256187363834424;0,01743812636165576
49478;Philadelphia Phillies;1987;479759,71;0,4938;0,6923076923076923;0,6748695659460365;-0,18106956594603651
49479;Pittsburgh Pirates;1987;306080,0;0,4938;0,23076923076923078;0,21333110440757502;0,280468895592425
49480;San Diego Padres;1987;409844,3;0,4012;0,38461538461538464;0,3671772582537289;0,03402274174627112
49481;Seattle Mariners;1987;251500,0;0,4815;0,07692307692307693;0,059484950561421154;0,4220150494385788
49482;San Francisco Giants;1987;316956,52;0,5556;0,2692307692307692;0,25179264286911346;0,3038073571308865
49483;St. Louis Cardinals;1987;379290,32;0,5864;0,34615384615384615;0,3287157197921904;0,25768428020780965
49484;Texas Rangers;1987;220000,0;0,463;0,038461538461538464;0,021023412099882694;0,44197658790011735
49485;Toronto Blue Jays;1987;455630,48;0,5926;0,5769230769230769;0,5594849505614211;0,0331150494385789
49486;Atlanta Braves;1988;438902,55;0,3375;0,46153846153846156;0,4441003351768058;-0,10660033517680578
49487;Baltimore Orioles;1988;501187,96;0,3354;0,6538461538461539;0,6364080274844981;-0,3010080274844981
49488;Boston Red Sox;1988;579003,83;0,5494;0,9230769230769231;0,9056387967152674;-0,35623879671526737
49489;California Angels;1988;426692,43;0,463;0,4230769230769231;0,4056387967152673;0,05736120328473271
49490;Chicago White Sox;1988;266250,0;0,441;0,11538461538461539;0,09794648902295962;0,3430535109770404
49491;Chicago Cubs;1988;524767,92;0,4753;0,6923076923076923;0,6748695659460365;-0,19956956594603653
49492;Cincinnati Reds;1988;355536,36;0,5404;0,23076923076923078;0,21333110440757502;0,32706889559242497
49493;Cleveland Indians;1988;406204,55;0,4815;0,34615384615384615;0,3287157197921904;0,1527842802078096
49494;Detroit Tigers;1988;559546,57;0,5432;0,8076923076923077;0,790254181330652;-0,24705418133065193
49495;Houston Astros;1988;472544,88;0,5062;0,5384615384615384;0,5210234120998827;-0,014823412099882693
49496;Kansas City Royals;1988;559867,77;0,5217;0,8461538461538461;0,8287157197921904;-0,30701571979219033
49497;Los Angeles Dodgers;1988;561683,83;0,5839;0,8846153846153846;0,8671772582537288;-0,28327725825372885
49498;Minnesota Twins;1988;541855,04;0,5617;0,7692307692307693;0,7517926428691135;-0,19009264286911354
49499;Milwaukee Brewers;1988;381909,09;0,537;0,2692307692307692;0,25179264286911346;0,2852073571308866
49500;Montreal Expos;1988;384133,32;0,5;0,3076923076923077;0,29025418133065195;0,20974581866934805
49501;New York Yankees;1988;648038,4;0,528;1,0;0,9825618736383442;-0,4545618736383442
49502;New York Mets;1988;610772,56;0,625;0,9615384615384616;0,9441003351768058;-0,3191003351768058
49503;Oakland Athletics;1988;421304,35;0,642;0,38461538461538464;0,3671772582537289;0,27482274174627114
49504;Philadelphia Phillies;1988;532230,77;0,4037;0,7307692307692307;0,713331104407575;-0,30963110440757496
49505;Pittsburgh Pirates;1988;222166,67;0,5313;0,038461538461538464;0,021023412099882694;0,5102765879001173
49506;San Diego Padres;1988;354111,19;0,5155;0,19230769230769232;0,17486956594603656;0,3406304340539634
49507;Seattle Mariners;1988;282401,92;0,4224;0,15384615384615385;0,1364080274844981;0,2859919725155019
49508;San Francisco Giants;1988;495200,0;0,5123;0,6153846153846154;0,5979464890229597;-0,08564648902295968
49509;St. Louis Cardinals;1988;477037,04;0,4691;0,5769230769230769;0,5594849505614211;-0,0903849505614211
49510;Texas Rangers;1988;242824,14;0,4348;0,07692307692307693;0,059484950561421154;0,37531504943857885
49511;Toronto Blue Jays;1988;470816,35;0,537;0,5;0,48256187363834424;0,05443812636165579
49512;Atlanta Braves;1989;370411,13;0,3937;0,15384615384615385;0,1364080274844981;0,2572919725155019
49513;Baltimore Orioles;1989;318275,65;0,537;0,07692307692307693;0,059484950561421154;0,47751504943857886
49514;Boston Red Sox;1989;672374,92;0,5123;0,8846153846153846;0,8671772582537288;-0,35487725825372884
49515;California Angels;1989;580685,88;0,5617;0,6923076923076923;0,6748695659460365;-0,11316956594603655
49516;Chicago White Sox;1989;290616,4;0,4286;0,038461538461538464;0,021023412099882694;0,4075765879001173
49517;Chicago Cubs;1989;444500,0;0,5741;0,4230769230769231;0,4056387967152673;0,16846120328473274
49518;Cincinnati Reds;1989;381793,1;0,463;0,19230769230769232;0,17486956594603656;0,28813043405396344
49519;Cleveland Indians;1989;336833,33;0,4506;0,11538461538461539;0,09794648902295962;0,3526535109770404
49520;Detroit Tigers;1989;582554,0;0,3642;0,7692307692307693;0,7517926428691135;-0,3875926428691135
49521;Houston Astros;1989;556648,15;0,5309;0,6153846153846154;0,5979464890229597;-0,06704648902295962
49522;Kansas City Royals;1989;691984,0;0,5679;0,9615384615384616;0,9441003351768058;-0,37620033517680584
49523;Los Angeles Dodgers;1989;679727,81;0,4813;0,9230769230769231;0,9056387967152674;-0,42433879671526736
49524;Minnesota Twins;1989;621266,64;0,4938;0,8076923076923077;0,790254181330652;-0,29645418133065193
49525;Milwaukee Brewers;1989;384433,33;0,5;0,23076923076923078;0,21333110440757502;0,286668895592425
49526;Montreal Expos;1989;493121,04;0,5;0,46153846153846156;0,4441003351768058;0,055899664823194195
49527;New York Yankees;1989;552076,61;0,4596;0,5769230769230769;0,5594849505614211;-0,0998849505614211
49528;New York Mets;1989;710181,11;0,537;1,0;0,9825618736383442;-0,4455618736383442
49529;Oakland Athletics;1989;624522,8;0,6111;0,8461538461538461;0,8287157197921904;-0,2176157197921904
49530;Philadelphia Phillies;1989;407846,15;0,4136;0,34615384615384615;0,3287157197921904;0,08488428020780964
49531;Pittsburgh Pirates;1989;439224,14;0,4568;0,38461538461538464;0,3671772582537289;0,0896227417462711
49532;San Diego Padres;1989;525740,74;0,5494;0,5;0,48256187363834424;0,06683812636165576
