Dwain Anderson;4;Tommy Corcoran;0,6667
Dwain Anderson;5;George Davis;0,6667
Jim Anderson;1;Rafael Ramirez;1,0
Jim Anderson;2;Bill Almon;1,0
Jim Anderson;3;Hubie Brooks;1,0
Jim Anderson;4;U. L. Washington;1,0
Jim Anderson;5;Howard Johnson;1,0
Tim Anderson;1;Starlin Castro;1,0
Tim Anderson;2;Manny Machado;1,0
Tim Anderson;3;Eugenio Suarez;1,0
Tim Anderson;4;Ronny Cedeno;1,0
Tim Anderson;5;Everth Cabrera;1,0
Elvis Andrus;1;Jose Reyes;1,0
Elvis Andrus;2;Asdrubal Cabrera;1,0
Elvis Andrus;3;Brandon Crawford;1,0
Elvis Andrus;4;Marcus Semien;1,0
Elvis Andrus;5;J. J. Hardy;1,0
Luis Aparicio;1;Dal Maxvill;1,0
Luis Aparicio;2;Gene Alley;1,0
Luis Aparicio;3;Hal Lanier;1,0
Luis Aparicio;4;Bobby Wine;1,0
Luis Aparicio;5;Elio Chacon;1,0
Luke Appling;1;Dick Bartell;1,0
Luke Appling;2;Joe Cronin;1,0
Luke Appling;3;Arky Vaughan;1,0
Luke Appling;4;Frankie Crosetti;1,0
Luke Appling;5;Billy Rogell;1,0
Orlando Arcia;1;Elvis Andrus;1,0
Orlando Arcia;2;Jose Reyes;1,0
Orlando Arcia;3;Asdrubal Cabrera;1,0
Orlando Arcia;4;Brandon Crawford;1,0
Orlando Arcia;5;Marcus Semien;1,0
Alex Arias;1;Omar Vizquel;1,0
Alex Arias;2;Barry Larkin;1,0
Alex Arias;3;Royce Clayton;1,0
Alex Arias;4;Jay Bell;1,0
Alex Arias;5;Tony Fernandez;1,0
Gabriel Arias;1;Willy Adames;1,0
Gabriel Arias;2;Bo Bichette;1,0
Gabriel Arias;3;CJ Abrams;1,0
Gabriel Arias;4;Fernando Tatis;1,0
Gabriel Arias;5;Luis Urias;1,0
Joaquin Arias;1;Elvis Andrus;1,0
Joaquin Arias;2;Jose Reyes;1,0
Joaquin Arias;3;Asdrubal Cabrera;1,0
Joaquin Arias;4;Brandon Crawford;1,0
Joaquin Arias;5;Marcus Semien;1,0
Buddy Armour;1;Eddie Joost;1,0
Buddy Armour;2;Eddie Lake;1,0
Buddy Armour;3;Skeeter Webb;1,0
Buddy Armour;4;Lennie Merullo;1,0
Buddy Armour;5;Sam Bankhead;1,0
Rick Auerbach;1;Frank Taveras;1,0
Rick Auerbach;2;Dave Chalk;1,0
Rick Auerbach;3;Alan Bannister;1,0
Rick Auerbach;4;Jim Mason;1,0
Rick Auerbach;5;Mike Phillips;1,0
Rich Aurilia;1;Derek Jeter;1,0
Rich Aurilia;2;Miguel Tejada;1,0
Rich Aurilia;3;Jimmy Rollins;1,0
Rich Aurilia;4;Alex Rodriguez;1,0
Rich Aurilia;5;Orlando Cabrera;1,0
Frank Austin;1;Eddie Joost;1,0
Frank Austin;2;Eddie Lake;1,0
Frank Austin;3;Skeeter Webb;1,0
Frank Austin;4;Lennie Merullo;1,0
Frank Austin;5;Sam Bankhead;1,0
Mike Aviles;1;Elvis Andrus;1,0
Mike Aviles;2;Jose Reyes;1,0
Mike Aviles;3;Asdrubal Cabrera;1,0
Mike Aviles;4;Brandon Crawford;1,0
Mike Aviles;5;Marcus Semien;1,0
Erick Aybar;1;Elvis Andrus;1,0
Erick Aybar;2;Jose Reyes;1,0
Erick Aybar;3;Asdrubal Cabrera;1,0
Erick Aybar;4;Brandon Crawford;1,0
Erick Aybar;5;Marcus Semien;1,0
Charlie Babb;1;Bill Dahlen;1,0
Charlie Babb;2;George Davis;1,0
Charlie Babb;3;Joe Tinker;1,0
Charlie Babb;4;Monte Cross;1,0
Charlie Babb;5;Kid Elberfeld;1,0
Bob Bailor;1;Ozzie Smith;1,0
Bob Bailor;2;Cal Ripken;1,0
Bob Bailor;3;Robin Yount;1,0
Bob Bailor;4;Alan Trammell;1,0
Bob Bailor;5;Spike Owen;1,0
Doug Baker;1;Ozzie Smith;1,0
Doug Baker;2;Cal Ripken;1,0
