340167;Brant Alyea;7;0;0;0;2;0,222
340171;Rich Amaral;3;1;0;0;0;0,5
340172;Alexi Amarista;1;1;0;1;0;2
340174;Ruben Amaro;1,5;0;0;0;0;0
340182;Red Ames;0,666666666666667;0,333333333333333;0;0;0;1
340184;Alfredo Amezaga;2;0;0;0;0;0
340186;Sandy Amoros;10,3333333333333;1,66666666666667;0,333333333333333;1,33333333333333;2;0,639
340194;Bill Anderson;1;0;0;0;0;0
340198;Brady Anderson;20;6;1,5;3;2,5;0,94825
340199;Brian Anderson;0,5;0;0;0;0;0
340200;Brian Anderson;2,5;0;0;0;0;0
340201;Brett Anderson;0,333333333333333;0;0;0;0;0
340203;Brian Anderson;9,5;2;0;0,5;0,5;0,4775
340211;Dave Anderson;3;0;0;0;1,5;0,1875
340217;Fred Anderson;0;0;0;0;0;NULL
340218;Garret Anderson;18,375;4,5;0,625;2,75;0,625;0,654875
340221;Grant Anderson;0;0;0;0;0;NULL
340224;Ian Anderson;0,666666666666667;0;0;0;0;0
340226;Jim Anderson;11;1;0;0;0;0,182
340234;Larry Andersen;0;0;0;0;0;NULL
340238;Marlon Anderson;6,25;1,5;0;0,25;0,25;0,58975
340241;Nick Anderson;0;0;0;0;0;NULL
340251;Tim Anderson;16,5;8;0;0,5;0;1,083
340252;Tyler Anderson;0,333333333333333;0;0;0;0,333333333333333;0,5
340256;Robert Andino;6;2,5;0;0;0;1,8635
340268;Ivy Andrews;2;0;0;0;0;0
340275;Mike Andrews;5,66666666666667;1,33333333333333;0;0,333333333333333;0,333333333333333;0,288333333333333
340284;Elvis Andrus;19,2222222222222;5,11111111111111;0,111111111111111;0,777777777777778;1,33333333333333;0,680555555555556
340287;Joaquin Andujar;1,2;0,2;0;0;0;0,25
340289;Miguel Andujar;4,66666666666667;0,666666666666667;0;0;1;0,837
340294;Rick Ankiel;3,75;0,5;0,25;0,25;0,5;0,234
340297;Cap Anson;23,5;8;0;0,5;3;0,8245
340298;Eric Anthony;1;0;0;0;1;0,5
340304;Johnny Antonelli;3;0;0;1;0;0
340307;Nori Aoki;10,25;2;0;0,75;1,25;0,4085
340308;Luis Aparicio;21;6;0;1;1;0,633
340313;Kevin Appier;0;0;0;0;0;NULL
340320;Aristides Aquino;6;2;0;0;0;0,667
340326;Jonathan Aranda;1;0;0;0;0;0
340333;Chris Archer;0;0;0;0;0;NULL
340335;Jimmy Archer;7;1;0;0;0;0,2275
340341;Orlando Arcia;7,7;1,9;0,5;0,8;0,5;0,5292
340348;Nolan Arenado;6,6;1;0,2;0,6;0;0,4028
340352;Alex Arias;1;0,666666666666667;0;0,333333333333333;0;1,33333333333333
340354;Gabriel Arias;10,5;2,5;0;0,5;0;0,518
340355;George Arias;1;0;0;0;0;0
340356;Joaquin Arias;1,71428571428571;0,714285714285714;0;0,142857142857143;0;0,83325
340360;Mario Ariosa;3;1;0;1;0;1
340366;Tony Armas;10;2,5;0;0,75;0,25;0,48925
340369;Ed Armbrister;1,75;0,25;0;0,25;0,5;0,5
340376;Buddy Armour;15;4,5;0;2;1;0,6865
340380;Jack Armstrong;0;0;0;0;0;NULL
340384;Shawn Armstrong;0;0;0;0;0;NULL
340393;Morrie Arnovich;1;0;0;0;0;0
340398;Randy Arozarena;14,6363636363636;4,27272727272727;1,09090909090909;1,72727272727273;1,54545454545455;0,779909090909091
340399;Luis Arraez;11,1666666666667;2,5;0;0,166666666666667;0,333333333333333;0,528
340400;Jose Arredondo;0;0;0;0;0;NULL
340401;Jake Arrieta;1,625;0,25;0,125;0,375;0;0,381
340405;Bronson Arroyo;0,857142857142857;0;0;0;0;0
340406;Christian Arroyo;12,6666666666667;3;0,333333333333333;1;0;0,457333333333333
340408;Luis Arroyo;0,5;0;0;0;0;0
340425;Richie Ashburn;17;3;0;1;0;0,412
340426;Aaron Ashby;0;0;0;0;0;NULL
340427;Alan Ashby;13,3333333333333;1,66666666666667;0,666666666666667;1,66666666666667;1,33333333333333;0,490333333333333
340428;Andy Ashby;1,2;0;0;0;0;0
340431;Graham Ashcraft;0;0;0;0;0;NULL
340435;Billy Ashley;1;0;0;0;0,5;0
340439;Bob Aspromonte;3;0;0;0;0;0
340443;Paul Assenmacher;0;0;0;0;0;NULL
340444;Ezequiel Astacio;0;0;0;0;0;NULL
340445;Pedro Astacio;0,333333333333333;0;0;0;0;0
340448;Willians Astudillo;1;0;0;0;0;0
340453;Keith Atherton;0;0;0;0;0;NULL
340460;Garrett Atkins;13,25;2,5;0,25;1,25;1,25;0,59925
340462;Joe Atkins;11;2;0;1;1;0,614
340474;Rick Auerbach;1;0,333333333333333;0;0;0;1,5
340481;Elden Auker;3;0;0;0;0;0
340485;Rich Aurilia;19,6;4,4;1,2;3,6;1,4;0,728
340487;Brad Ausmus;13,25;3,25;0,375;0,875;1,125;0,73625
340506;Earl Averill;3;0;0;0;0;0
340509;Steve Avery;1,9;0,4;0;0,1;0;0,422666666666667
340511;Alex Avila;11,1;1,7;0,3;0,7;1,1;0,651666666666667
340512;Bobby Avila;15;2;0;0;2;0,369
340513;Luis Avilan;0;0;0;0;0;NULL
340516;Pedro Avila;0;0;0;0;0;NULL
340518;Ramon Aviles;0;0;0;0;0,5;NULL
340522;John Axford;0;0;0;0;0;NULL
340523;Benny Ayala;2,33333333333333;1;0,333333333333333;1,33333333333333;0,333333333333333;1,631
340524;Bobby Ayala;0;0;0;0;0;NULL
340525;Luis Ayala;0;0;0;0;0;NULL
340526;Erick Aybar;12,2;3,2;0;0,8;0,2;0,5616
340527;Manny Aybar;0;0;0;0;0;NULL
340528;Willy Aybar;10;3,25;0,5;1,75;0,25;0,74925
340536;Jose Azocar;0;0;0;0;0;NULL
340546;Brandon Backe;2,2;0;0;0;0;0
340549;Wally Backman;17;4,5;0;1,25;2;0,623
340558;Harrison Bader;6,3;1,5;0,5;1;0,6;0,586555555555555
340564;Carlos Baerga;21,6666666666667;6,33333333333333;0,333333333333333;3;1;0,699333333333333
340566;Danys Baez;0;0;0;0;0;NULL
340567;Javier Baez;14;3,36363636363636;0,545454545454545;1,72727272727273;0,545454545454545;0,754818181818182
340572;Pedro Baez;0;0;0;0;0;NULL
340575;Jim Bagby;6;2;1;3;0;1,167
340576;Jim Bagby;1;0;0;0;0;0
340578;Jeff Bagwell;11,7777777777778;2,66666666666667;0,222222222222222;1,44444444444444;2,11111111111111;0,582
340579;Stan Bahnsen;0;0;0;0;0;NULL
340592;Ed Bailey;14;1;1;2;0;0,357
340597;Homer Bailey;1,5;0;0;0;0;0
340608;Bob Bailor;1;0;0;0;0;0
340609;Harold Baines;12,75;4,125;0,625;2;1,125;0,909625
340615;Doug Bair;0;0;0;0;0;NULL
340621;Bill Baker;4;1;0;0;0;0,5
340623;Bryan Baker;0;0;0;0;0;NULL
340629;Doug Baker;0;0;0;0;0;NULL
340630;Dusty Baker;18,625;5,25;0,625;2,625;1,5;0,80625
340633;Floyd Baker;2;0;0;0;0;0
340634;Home Run Baker;15,1666666666667;5,5;0,5;3;0,833333333333333;0,750833333333333
340636;Frank Baker;0;0;0;0;0;NULL
340638;Gene Baker;13;2;0,5;0,5;1,5;0,287
340644;Jeff Baker;1,33333333333333;0,666666666666667;0;0,333333333333333;0;1
340653;Scott Baker;0;0;0;0;0;NULL
340658;Paul Bako;6,2;1,2;0,2;1;0,8;0,4344
340662;Steve Balboni;20,3333333333333;4;0;1,33333333333333;2,66666666666667;0,438666666666667
340664;Rocco Baldelli;5,75;1;0,5;1,5;0,75;0,64025
340673;Harry Baldwin;0;0;0;0;0;NULL
340675;James Baldwin;0;0;0;0;0;NULL
340678;Lady Baldwin;17;4;0;1;2;0,61
340689;Grant Balfour;0;0;0;0;0;NULL
340694;Moisés Ballesteros;1,5;0;0;0;0;0
340700;Neal Ball;1;0;0;0;0;0
340701;Win Ballou;0;0;0;0;0;NULL
340707;Dave Bancroft;23,25;4;0;1,75;1,5;0,43
340709;Anthony Banda;0;0;0;0;0;NULL
340711;Sal Bando;17,6666666666667;4,33333333333333;0,555555555555556;1,44444444444444;2;0,785333333333333
340717;Dan Bankhead;0;0;0;0;0;NULL
340719;Sam Bankhead;13,5;3,3;0;0,7;1,3;0,4835
340722;Brian Banks;1,5;0;0;0;0,5;0,25
340731;Tanner Banks;0;0;0;0;0;NULL
340736;Floyd Bannister;0;0;0;0;0;NULL
340741;Jack Banta;1;0;0;0;0;0
340747;Rod Barajas;3;1;0,666666666666667;0,666666666666667;0;1,325
340764;Turner Barber;2;0;0;0;0;0
340765;Jim Barbieri;1;0;0;0;0;0
340767;Lorenzo Barcelo;0;0;0;0;0;NULL
340771;Daniel Bard;0;0;0;0;0;NULL
340773;Josh Bard;7;1;0;0;1;0,393
340776;Jesse Barfield;25;7;1;4;3;0,797
340778;Josh Barfield;4;1;0;0;0,5;0,708
340781;Addison Barger;20;7,33333333333333;1;3;2,66666666666667;0,974666666666667
340786;Glen Barker;3;0;0;0;0;0
340797;Sam Barkley;23;2;0;0;2;0,247
340800;Mike Barlow;0;0;0;0;0;NULL
340801;Scott Barlow;0;0;0;0;0;NULL
340804;Clint Barmes;8,33333333333333;1;0;0;0;0,357
340807;Austin Barnes;7,13333333333333;1,46666666666667;0,133333333333333;0,666666666666667;0,666666666666667;0,641
340814;Darwin Barney;7,5;0,5;0;0;0;0,125
340824;Jesse Barnes;6,5;2;0;0;0;0,4445
340826;John Barnes;5;1;0;1;0;0,8
340830;Matt Barnes;0;0;0;0;0;NULL
340833;Rex Barney;0,5;0;0;0;0;0
340839;Tony Barnette;0;0;0;0;0;NULL
340841;Virgil Barnes;2,5;0;0;0;0,5;0,1
340843;Clyde Barnhart;22;6;0;4,5;1,5;0,648
340844;Dave Barnhill;1,5;0;0;0;0;0
340849;Tucker Barnhart;5;0;0;0;0;0
340856;Salome Barojas;0;0;0;0;0;NULL
340866;Aaron Barrett;0;0;0;0;0;NULL
340878;Marty Barrett;18,75;6,25;0;2,25;2;0,682
340881;Red Barrett;0;0;0;0;0;NULL
340890;Jim Barr;1;0;0;0;0;0
340903;Jack Barry;17,4;4,2;0;1,4;0,6;0,5864
340909;Dick Bartell;22,6666666666667;6,66666666666667;0,333333333333333;2,33333333333333;2,33333333333333;0,787333333333333
340921;Jason Bartlett;15,4;4,2;0,2;0,6;1;0,6884
340927;Daric Barton;3;0;0;0;0;0
340946;Anthony Bass;0;0;0;0;0;NULL
340951;Pepper Bassett;16;6,5;0,5;3,5;1,5;0,949
340953;Chris Bassitt;0;0;0;0;0;NULL
340955;Kevin Bass;24;7;0;0;4;0,768
340961;Antonio Bastardo;0;0;0;0;0;NULL
340968;Billy Bates;0,5;0,5;0;0;0;2
340974;Jason Bates;5;1;0;0;0;0,4
340978;Bill Bathe;1,5;0,5;0,5;1,5;0;1,25
340980;Kim Batiste;0,5;0,5;0;0,5;0;3
340981;Miguel Batista;1;0;0;0;0;0
340987;Earl Battey;25;3;0;2;0;0,32
340993;Howard Battle;1;0;0;0;0;0
340995;Ray Battle;5;0;0;0;1;0,167
341002;Hank Bauer;20,8888888888889;5,11111111111111;0,777777777777778;2,66666666666667;0,888888888888889;0,605111111111111
341003;Jake Bauers;6,33333333333333;2;0,666666666666667;1,33333333333333;0,333333333333333;1,191
341007;Trevor Bauer;0,166666666666667;0;0;0;0;0
341022;Danny Bautista;5,14285714285714;1,57142857142857;0;1,57142857142857;0,285714285714286;0,668857142857143
341027;Jose Bautista;14,8;3,6;1,2;3,2;2,8;1,0336
341036;Jason Bay;16,3333333333333;5;1;3;4;0,918333333333333
341041;Don Baylor;12,1;3,3;0,4;2,1;1,3;0,6379
341044;Eduard Bazardo;0;0;0;0;0;NULL
341046;Shane Baz;0;0;0;0;0;NULL
341066;Dave Beard;0;0;0;0;0;NULL
341067;Gene Bearden;4;2;0;0;0;1,25
341084;Jim Beattie;0;0;0;0;0;NULL
341085;Matt Beaty;3,8;0,8;0;0,2;0,2;0,2875
341086;Jim Beauchamp;4;0;0;0;0;0
341087;Ginger Beaumont;18;4,5;0;0,5;1,5;0,481
341091;Johnny Beazley;3,5;0,5;0;0;0;0,286
341092;Buck Becannon;2;1;0;0;0;1
341099;Beals Becker;2,33333333333333;0;0;0;0,666666666666667;0,1665
341104;Heinz Becker;2;1;0;0;1;1,167
341106;Josh Beckett;1,22222222222222;0,222222222222222;0;0;0,111111111111111;0,194333333333333
341114;Gordon Beckham;1;0;0;0;0;0
341121;Rod Beck;0;0;0;0;0;NULL
341123;Joe Beckwith;0;0;0;0;0;NULL
341131;Hugh Bedient;6;0;0;0;0;0
341133;David Bednar;0;0;0;0;0;NULL
341135;Steve Bedrosian;0;0;0;0;0;NULL
341150;Joe Beggs;0;0;0;0;0;NULL
341158;Hank Behrman;0;0;0;0;0;NULL
341159;Joe Beimel;0;0;0;0;0;NULL
341163;Mark Belanger;12,6;2,3;0,1;0,7;1,5;0,4701
341164;Wayne Belardi;2;0;0;0;0;0
341166;Tim Belcher;1,6;0,2;0;0;0;0,25
341171;Stan Belinda;0;0;0;0;0;NULL
341172;Matt Belisle;0,5;0;0;0;0;0
341173;Ronald Belisario;0;0;0;0;0;NULL
341177;Andrew Bellatti;0;0;0;0;0;NULL
341186;Cliff Bell;4;0,333333333333333;0;0;0;0,5
341187;Cool Papa Bell;25;6,85714285714286;0,142857142857143;2,28571428571429;2,28571428571429;0,691857142857143
341188;David Bell;16,7142857142857;4,71428571428571;0,428571428571429;1,85714285714286;1,85714285714286;0,733857142857143
341189;Derek Bell;5,66666666666667;0,5;0,166666666666667;0,166666666666667;0,333333333333333;0,321
341190;Albert Belle;15,25;3,5;1,5;3,5;4,25;0,96525
341196;Gary Bell;0;0;0;0;0;NULL
341198;George Bell;24;6,5;0,5;1,5;0;0,65
341199;Gus Bell;3;0;0;0;0;0
341201;Herman Bell;2,5;1;0;0,5;0,5;1,825
341202;Herman Bell;0;0;0;0;0;NULL
341203;Mark Bellhorn;9,6;1,8;0,6;1,6;3;0,6305
341204;Clay Bellinger;0,625;0,125;0;0,125;0;0,75
341205;Cody Bellinger;15,8823529411765;3,35294117647059;0,588235294117647;2,17647058823529;1,58823529411765;0,665470588235294
341206;Rafael Belliard;6,81818181818182;1,54545454545455;0;0,727272727272727;0,363636363636364;0,407
341207;Ronnie Belliard;16;4,2;0;1;1,4;0,5856
341208;Jay Bell;15,2857142857143;4;0,428571428571429;1,42857142857143;1,14285714285714;0,556571428571429
341212;Josh Bell;11;3,25;0,5;1,5;0,25;0,7345
341217;Les Bell;27;7;1;6;2;0,718
341222;Brayan Bello;0;0;0;0;0;NULL
341232;William Bell;6,75;1,75;0;1,5;0,5;0,66275
341236;Brandon Belt;13,5;2,9;0,2;1,3;2,1;0,6091
341237;Adrian Beltre;15,8571428571429;4,14285714285714;0,714285714285714;1,57142857142857;0,571428571428571;0,658428571428571
341238;Carlos Beltran;14,3333333333333;4,4;1,06666666666667;2,8;2,46666666666667;0,841866666666667
341246;Marvin Benard;8;0,5;0;0,5;0,5;0,1025
341248;Johnny Bench;16,9;4,5;1;2;1,8;0,8912
341250;Charles Bender;6,4;0,6;0;0,4;0,2;0,1888
341252;Bruce Benedict;8;2;0;0;2;0,775
341253;Alan Benes;1;0;0;0;0;0
341254;Andy Benes;1,71428571428571;0,428571428571429;0;0,142857142857143;0,142857142857143;0,5134
341257;Benny Bengough;8,5;1,5;0;0,5;1;0,358
341258;Andrew Benintendi;16,2;4,4;0,4;1,8;1;0,7738
341259;Juan Beniquez;6,66666666666667;1,33333333333333;0;0,666666666666667;0,333333333333333;0,465
341260;Armando Benitez;0;0;0;0;0;NULL
341262;Jerry Benjamin;17,6;3,8;0;1;1,6;0,491
341263;Mike Benjamin;11;1;0;0;1;0,258
341268;Charlie Bennett;24,5;6,5;0,5;5;1,5;0,834
341275;Gary Bennett;0,5;0;0;0;0;0
341287;Joaquin Benoit;0;0;0;0;0;NULL
341290;Gene Benson;7;3;0;0;1;0,929
341294;Will Benson;1;0;0;0;0,5;0,25
341296;Jack Bentley;6;2,5;0,5;1;0,5;1,2445
341297;Al Benton;0;0;0;0;0;NULL
341301;Rube Benton;4;0;0;0;0;0
341304;Todd Benzinger;10,3333333333333;2;0;0;1;0,47
341309;Jason Bere;0;0;0;0;0;NULL
341311;Juan Berenguer;0;0;0;0;0;NULL
341313;Augie Bergamo;6;0;0;1;2;0,25
341328;Wally Berger;9;0;0;0,5;0;0
341334;Dave Bergman;3,25;0,75;0;1;0;0,95825
341343;Lance Berkman;16,9090909090909;5,36363636363636;0,818181818181818;3,72727272727273;2,81818181818182;0,988090909090909
341349;Dwight Bernard;0;0;0;0;0;NULL
341351;Plácido Bernal;1;0;0;0;0;0
341352;Roger Bernadina;2;0;0;0;2;0,5
341366;Yogi Berra;18,5;5,07142857142857;0,857142857142857;2,78571428571429;2,28571428571429;0,716357142857143
341368;Jose Berrios;0;0;0;0;0;NULL
341369;Angel Berroa;1;0,5;0;0;0;1
